date,NDVI_mean,NDVI_std,NDWI_mean,NDWI_std,NDBI_mean,NDBI_std,LST_mean_C,LST_std_C,count,year,scene
2022-01-27,0.20162605277902731,0.07739111975826224,0.05556850656625639,0.06521581954526573,-0.05556850656625639,0.06521581954526573,12.678687814528145,4.144818400240383,2649889,2022,January
2022-02-12,0.1837989767679095,0.09940029855905112,0.05602338512215758,0.06660330707773968,-0.05602338512215758,0.06660330707773968,13.168472641833546,4.3728982767120055,2649889,2022,Feburary
2022-03-08,0.2149932575634553,0.07052950852457807,0.03971641291032463,0.06862170583808347,-0.03971641291032463,0.06862170583808347,25.446893362809497,3.893588038660203,2649889,2022,March
2022-04-17,0.24329486340348977,0.07633964212287166,0.05936685587551222,0.07845763616545062,-0.05936685587551222,0.07845763616545062,31.61534470975513,4.400812261568207,2649889,2022,April
2022-05-27,0.289823493115122,0.08795431278445269,0.10798121863036703,0.06652538942538966,-0.10798121863036703,0.06652538942538966,27.2815223067609,4.171976706628209,2649889,2022,May
2022-10-18,0.3031733846385182,0.08626438390451954,0.12851784719317882,0.06393020856847353,-0.12851784719317882,0.06393020856847353,22.788756386682216,3.4963200532175,2649889,2022,October
2022-11-11,0.256337324761446,0.08627126887044888,0.09493938028044022,0.06845548518714441,-0.09493938028044022,0.06845548518714441,20.941805800319358,3.7075918139931043,2649889,2022,November
2022-12-05,0.22536202277776368,0.0907426696408661,0.07015092602996013,0.06943564039046925,-0.07015092602996013,0.06943564039046925,17.101853738376025,3.469434845621551,2649889,2022,December
2023-01-14,0.19798368263582936,0.08581579566888346,0.04553585059351584,0.07044592364744066,-0.04553585059351584,0.07044592364744066,16.092883991485774,3.8191079124431067,2649889,2023,January
2023-02-07,0.1833279426241247,0.071969204043124,0.03720434537349667,0.06661244294218527,-0.03720434537349667,0.06661244294218527,17.521065237812245,4.48086161156455,2649889,2023,Feburary
2023-03-03,0.17948957553093264,0.0635287779969081,0.028476509849185337,0.06237606972796564,-0.028476509849185337,0.06237606972796564,21.51682173572353,4.313934966622046,2649889,2023,March
2023-04-04,0.22484347537911492,0.07204529430671,0.04577707754250698,0.07275004014841031,-0.04577707754250698,0.07275004014841031,26.845051009066665,3.877820628971487,2649889,2023,April
2023-05-06,0.22397468044753824,0.09650943721798717,0.05709010202613466,0.07613846430050997,-0.05709010202613466,0.07613846430050997,28.56425540986545,7.620447735743309,2649889,2023,May
2023-06-07,0.23422630399636934,0.10981257112530204,0.08632987124792335,0.07520439937606065,-0.08632987124792335,0.07520439937606065,28.644470821408476,12.096729599829663,2649889,2023,June
2023-10-21,0.29294267990132233,0.08824037717660378,0.12689394287603598,0.06357169887801696,-0.12689394287603598,0.06357169887801696,21.787738350194356,3.7551258009803976,2649889,2023,October
2023-11-14,0.2620742657465703,0.08812243778961741,0.10014526919051561,0.0702985879903506,-0.10014526919051561,0.0702985879903506,20.8518203187542,3.314991635287224,2649889,2023,November
2023-12-16,0.21677417674190158,0.09058659196296553,0.07093734741602492,0.06936610693374907,-0.07093734741602492,0.06936610693374907,15.677961443258425,3.6755204486295656,2649889,2023,December
2024-02-10,0.20068789082225416,0.07729185225611479,0.04381589506033795,0.07281255582668554,-0.04381589506033795,0.07281255582668554,17.81878025674155,3.588614691889876,2649889,2024,Feburary
2024-03-13,0.20507713976579997,0.06856840416482192,0.03276547521737501,0.07291633942271833,-0.03276547521737501,0.07291633942271833,25.538041506136537,4.5979079300347125,2649889,2024,March
2024-04-30,0.22278731476099997,0.07637697692410016,0.040157877521959214,0.07921376161199307,-0.040157877521959214,0.07921376161199307,35.68422336694501,4.740022885507648,2649889,2024,April
2024-05-16,0.23593319307450802,0.09208353574908719,0.0529762619727285,0.08286621156461284,-0.0529762619727285,0.08286621156461284,31.805411625425283,8.267138194238388,2649889,2024,May
2024-10-23,0.2873381613659552,0.08559521745852056,0.11615946333416309,0.06489612311606378,-0.11615946333416309,0.06489612311606378,24.17327801262608,5.006214460382928,2649889,2024,October
2024-11-24,0.21441668803916997,0.09936330704237373,0.07603531220438567,0.06523115551956078,-0.07603531220438567,0.06523115551956078,17.190328634313545,5.412946504095488,2649889,2024,November
2024-12-18,0.21114407937069557,0.09227770877310949,0.05939871691803441,0.0702468630696662,-0.05939871691803441,0.0702468630696662,15.560087192848753,3.5432213005603668,2649889,2024,December
