date,lst_mean,lst_median,count,lst_std
2022-01-27,12.6786925791986,13.473175048828125,2649889,4.144817901326759
2022-02-12,13.168477623024964,13.626983642578125,2649889,4.372897941516135
2022-03-08,25.446898341779598,25.754119873046875,2649889,3.8935879052499565
2022-04-17,31.61534992597803,32.005645751953125,2649889,4.4008122080698895
2022-05-27,27.281529150843678,27.921112060546875,2649889,4.1719769784101635
2022-10-18,22.78876134056936,22.821441650390625,2649889,3.4963199054152847
2022-11-11,20.94181001543838,21.201324462890625,2649889,3.7075921718822027
2022-12-05,17.101858983527233,17.462005615234375,2649889,3.4694347288160508
2023-01-14,16.09288841909982,16.46392822265625,2649889,3.819107916140985
2023-02-07,17.52107201471458,18.436126708984375,2649889,4.480861594736853
2023-03-03,21.516827308615568,22.151519775390625,2649889,4.313935022388096
2023-04-04,26.845055019285713,27.258026123046875,2649889,3.8778206862012587
2023-05-06,28.564260616199395,30.799102783203125,2649889,7.620447744992505
2023-06-07,28.644478315884175,32.76788330078125,2649889,12.09672947400056
2023-10-21,21.787744316837422,22.086578369140625,2649889,3.7551256628466274
2023-11-14,20.85182586893262,20.955230712890625,2649889,3.3149915665025462
2023-12-16,15.677966888424383,16.24859619140625,2649889,3.6755204796182324
2024-02-10,17.818785617057923,18.070404052734375,2649889,3.588614522429495
2024-03-13,25.53804782011624,26.218963623046875,2649889,4.597907890539841
2024-04-30,35.68422677327239,36.4866943359375,2649889,4.740022824741888
2024-05-16,31.805416755192386,32.75421142578125,2649889,8.267138101955503
2024-10-23,24.17328423945305,24.59539794921875,2649889,5.006214352210366
2024-11-24,17.190332123345545,18.313079833984375,2649889,5.412946525094608
2024-12-26,15.589570732962777,15.92047119140625,2649889,3.4991372553302704
